weight,word,color,url
1,Authlogic,#F44336,
1,Object Constraint Language OCL,#E91E63,
1,OCL Object Constraint Language,#FF5722,
1,Qualcomm Brew,#9C27B0,
1,tivoli,#673AB7,
2,Active Merchant,#3F51B5,
2,Ethereum Smart Contracts,#2196F3,
2,Heroku,#03A9F4,
2,Matplotlib,#00BCD4,
2,Objective C,#009688,
2,QNX,#4CAF50,
2,Symphony,#8BC34A,
3,Blockchain,#CDDC39,
3,Corel Draw,#CDDC39,
3,CouchDB,#FFEB3B,
3,dbase,#FFC107,
3,Facebook Graph,#FF9800,
3,Hadoop,#FF5722,
3,Job Scheduling Console,#795548,
3,Linux Kernel,#9E9E9E,
3,MetaHuman,#607D8B,
3,OcamL,#E91E63,
3,Perforce,#9C27B0,
3,Spring MVC,#673AB7,
3,Three.js,#3F51B5,
3,Visual Basic,#2196F3,
3,VMWare,#03A9F4,
3,ZenDesk,#00BCD4,
4,3D Studio,#009688,
4,3D Studio Max,#4CAF50,
4,ActiveRecord,#8BC34A,
4,ANT,#CDDC39,
4,Assembly X86,#FFEB3B,
4,Big Data,#FFC107,
4,Blender,#FF9800,
4,Character Creator 4,#FF5722,
4,Cinema 4D,#795548,
4,CoinBase,#9E9E9E,
4,DataDog,#607D8B,
4,dwr,#E91E63,
4,Filmora,#9C27B0,
4,GeoJSON,#673AB7,
4,Google Cloud,#3F51B5,
4,Gradle,#2196F3,
4,JMeter,#03A9F4,
4,JSon,#00BCD4,
4,kibana,#009688,
4,MonoDevelop,#4CAF50,
4,NumPy,#8BC34A,
4,Rake,#CDDC39,
4,redmine,#FFEB3B,
4,SameTime,#FFC107,
4,Splunk,#FF9800,
4,Squeak SMalltalk,#FF5722,
4,WebSockets API,#795548,
5,.NET,#9E9E9E,
5,Bash,#607D8B,
5,C#,#E91E63,
5,curl,#9C27B0,
5,DJango,#673AB7,
5,dreamweaver,#3F51B5,
5,Elastic Search,#2196F3,
5,GNU GCC,#03A9F4,
5,IBM AIX,#00BCD4,
5,IBM DB2,#009688,
5,IntelliJ Idea,#4CAF50,
5,Kraken,#8BC34A,
5,mechanize,#CDDC39,
5,Microsoft Azure,#FFEB3B,
5,NodeJS,#FFC107,
5,OpenGL,#FF9800,
5,Oracle Database,#FF5722,
5,QA Load and Performance,#795548,
5,SalesForce,#795548,
5,SFTP,#607D8B,
5,SSH,#E91E63,
5,Webrick,#9E9E9E,
5,Facebook Laser targetted Ads,#FF5722,
6,browserify,#607D8B,
6,cactus,#E91E63,
6,Digital Ocean,#9C27B0,
6,FreeBSD,#673AB7,
6,Jira,#2196F3,
6,junit,#03A9F4,
6,Magento,#00BCD4,
6,Maven,#009688,
6,MongoDB,#4CAF50,
6,PowerShell,#8BC34A,
6,Rational Software Architect,#FFEB3B,
6,Rubymine,#FFC107,
6,Semrush,#FF5722,
6,xml,#795548,
6,z-Linux,#9E9E9E,
6,Pharmaceutical Packaging,#9E9E9E,
7,Apache Derby,#607D8B,
7,CoinBase,#E91E63,
7,Computer Vision,#9C27B0,
7,Divi,#673AB7,
7,Eclipse,#3F51B5,
7,Git,#2196F3,
7,GitHub,#03A9F4,
7,GitLab,#00BCD4,
7,GO Pro,#009688,
7,Groovy on Grails,#4CAF50,
7,IBM OS2,#8BC34A,
7,Javascript,#CDDC39,
7,JSP,#FFEB3B,
7,Microsoft Office,#FFC107,
7,Netbeans,#FF9800,
7,nmap,#FF5722,
7,Open Office,#795548,
7,requirejs,#9E9E9E,
7,SDL Simple Direct Media Layer,#9E9E9E,
7,Sublime,#9C27B0,
7,TCP Sockets,#673AB7,
7,UDP Sockets,#3F51B5,
7,Web Services,#607D8B,
7,WebKing,#E91E63,
7,XLST,#03A9F4,
7,XMPP,#9C27B0,
8,360 Videos,#673AB7,
8,Adobe Character Animator,#3F51B5,
8,Adobe Photoshop,#2196F3,
8,Android,#03A9F4,
8,Aws Linux 2,#00BCD4,
8,Binance API,#009688,
8,Eclipse plug-in,#4CAF50,
8,Haskell,#CDDC39,
8,Hibernate,#FFEB3B,
8,IBM Z-LINUX,#FFC107,
8,J2EE,#FF9800,
8,J2ME Java 2 Mobile Edition,#FF5722,
8,Java Servlets,#795548,
8,JBoss,#9E9E9E,
8,KDE,#607D8B,
8,MakeHuman,#E91E63,
8,OCR,#9C27B0,
8,OPENAI APIs,#673AB7,
8,Photoshop,#3F51B5,
8,PlumVoice,#2196F3,
8,Postgres SQL,#03A9F4,
8,Retail Marketing,#00BCD4,
8,SEO,#4CAF50,
8,Slackware Linux,#8BC34A,
8,Suse Linux,#CDDC39,
8,Telegram BOTs,#FFEB3B,
8,Telethon,#FFC107,
8,Unix Sockets,#2196F3,
8,Unreal Engine,#FF9800,
8,WAP,#FF5722,
9,EJB Enterprise Java Beans,#8BC34A,
9,JSP Java Server Pages,#FF9800,
9,AWS Amazon Web Services,#795548,
9,Chrome Extensions,#9E9E9E,
9,Ecommerce,#8BC34A,
9,IVR Systems,#607D8B,
9,macos,#E91E63,
9,MySql,#9C27B0,
9,Oracle Database,#673AB7,
9,Subversion,#3F51B5,
9,TomCat,#2196F3,
9,Trademarks,#03A9F4,
9,UPSTO,#00BCD4,
9,VoiceXML,#009688,
9,Web Crawling,#4CAF50,
10,Java Applets,#3F51B5,
10,Agile,#3F51B5,
10,Agile Planning Sessions,#2196F3,
10,Apache HTTP Server,#03A9F4,
10,Backlink strategy,#00BCD4,
10,Borland Delphi,#009688,
10,BrainTree,#4CAF50,
10,Branding,#8BC34A,
10,CherryPy,#FFC107,
10,CSS,#FF9800,
10,Fedora,#795548,
10,Filezilla,#FFEB3B,
10,FreePascal,#9E9E9E,
10,PyTorch,#9E9E9E,
10,FTP,#FFC107,
10,opencv,#9E9E9E,
10,pyqt,#9E9E9E,
10,Gentoo Linux,#607D8B,
10,GNome,#E91E63,
10,HTML,#9C27B0,
10,Instagram Ads,#673AB7,
10,JQUERY,#2196F3,
10,KDevelop,#03A9F4,
10,keyword planning,#00BCD4,
10,Lotus Notes,#009688,
10,Lotus Suite,#4CAF50,
10,MariaDB,#8BC34A,
10,Marketing Automation,#CDDC39,
10,Microsoft Windows,#FFEB3B,
10,Ms-Dos,#FFC107,
10,NoSQL,#FF9800,
10,Oracle Right Now,#FF5722,
10,PayPal APIs,#795548,
10,PHP,#607D8B,
10,Prestashop,#E91E63,
10,Product Design,#9C27B0,
10,Red Hat Linux,#3F51B5,
10,Scrum,#03A9F4,
10,Shopify,#00BCD4,
10,Sinatra,#009688,
10,SmallTalk Cincom,#4CAF50,
10,SQL,#8BC34A,
10,Stripe,#CDDC39,
10,tiles,#FFEB3B,
10,Turbo C,#FFC107,
10,Turbo Pascal,#FF9800,
10,Ubuntu Linux,#FF5722,
10,UML Unified Modelling Language,#795548,
10,Use Cases,#9E9E9E,
10,Web,#607D8B,
10,Window Maker,#E91E63,
10,Wordpress,#9C27B0,
10,XP Programming,#673AB7,
15,C++,#FFEB3B,
15,Ruby on Rails,#009688,
15,Web UI,#7848D5,
20,TradingAutomation,#66B61B,
25,Payments,#CFE217,
30,Selenium,#0CF073,
30,Java,#3F51B5,
30,Python,#673AB7,
30,Ruby,#2196F3,
35,C,#CDDC39,
7,unreal engine,#CDDC39
